TAG DATABASE: PHYSICAL & APPEARANCE
========================================
Total tags: 4354
Categories: 16
Last updated: 2026-02-26

================================================================================
SPECIES & BODY TYPE
================================================================================
african_wild_dog | An African wild dog species, painted coat in black, tan, and white patches. | species:canid
eye_creature | Character whose body is dominated by one or more oversized eyes, often as the entire head or torso. | body_type
flora_fauna | Plant-animal hybrid character — flower-headed, root-limbed, or otherwise fused with botanical anatomy. | body_type
food_creature | Character whose body is made of, or shaped like, food — bread bodies, candy limbs, pastry features. | body_type
glitch | Character rendered as if they're a corrupted video-game asset, with artefacts, tearing, or broken textures. | body_type
goo_creature | Amorphous slime- or ooze-bodied character whose form ripples, stretches, or dissolves at will. | body_type
hourglass figure | Narrow waist with balanced bust and hips | body_type
huge muscles | Extremely large, exaggerated muscles | body_type
human | Fully human character with no anthropomorphic animal traits at all. | body_type
humanoid | Non-human species with human shape (aliens, androids, elves, etc.) | body_type
hyper muscles | Beyond believable muscular size | body_type
living_aircraft | Aircraft or vehicle with living anatomy, either organic features grafted on or the machine as a full creature. | body_type
manly | Exaggeratedly masculine build — hyper-broad shoulders, thick muscle, rugged facial features pushed to caricature. | body_type
mineral_fauna | Character whose body is made of crystal, stone, or metal rather than flesh, with geological textures replacing skin. | body_type
monster | Broad tag for unnatural, grotesque or fictional horror beings | body_type
morbidly obese | Extremely obese to an unhealthy or exaggerated extent | body_type
musclegut | Heavily muscled build paired with a large, pushed-out gut, the combination of strength and mass rather than cut abs. | body_type
obese | Character with significantly heavy build, rolls, and proportions well past overweight into obese range. | body_type
object_head | Humanoid body topped with an inanimate object instead of a head — lamp, radio, box, clock. | body_type
overweight | Character visibly carrying extra weight across belly, thighs, and chest without reaching obese proportions. | body_type
pear-shaped figure | Wider hips compared to upper body | body_type
penis_creature | Character whose body is formed from or dominated by phallic shapes, often the entire silhouette. | body_type
robot | Fully mechanical character with metal body, joints, and plating rather than flesh or fur. | body_type
semi-anthro | Hybrid of anthro and feral; often retains animal proportions | body_type
serpentine | Long snake-like body with no limbs or only a humanoid upper torso, the lower half a coiling tail. | body_type
short | Character of notably short stature compared to the cast around them, distinct from dwarfism proper. | body_type
short stack / teapot | Very short and curvy figure | body_type
skinny | Thin build with visible slenderness, minimal muscle mass, neither toned nor underweight. | body_type
slightly chubby | Slight excess weight, minor belly | body_type
slim | Lean, streamlined physique — fit but narrow-framed, emphasis on grace rather than power. | body_type
stocky | Broad and compact build — thick-limbed, solid through the middle, built close to the ground. | body_type
taur | Anthro or human upper body with quadruped lower body | body_type
tentacle_monster | Character whose anatomy is primarily tentacles, either instead of limbs or as the whole body. | body_type
top heavy | Larger bust compared to lower body | body_type
undead | Creatures that are animated despite being dead (skeletons, ghosts, zombies) | body_type
venus figure | Classical, soft femininity with full curves | body_type
voluptuous | Full and round in multiple areas (breasts, hips, thighs) | body_type
waddling_head | Oversized head or round body with tiny limbs, giving a waddling gait when they move. | body_type

================================================================================
ANATOMY & PHYSICAL FEATURES
================================================================================
abs | Visible abdominal muscles defining the stomach, the cut six-pack as the noted feature. | anatomy:general
albino | A character with albinism, white fur or skin and pink or red eyes from pigment loss. | anatomy:general
amazonian | A tall muscular feminine body type, the Amazon-warrior physique as noted feature. | anatomy:general
ampallang | An ampallang horizontal piercing through the glans, the bar across the penis tip. | anatomy:general
androgynous_body | A body that blends masculine and feminine traits, ambiguous body proportions the feature. | anatomy:general
angel_bites | Two piercings on either side of the upper lip | anatomy:general
anti_eyebrow_piercing | An anti-eyebrow piercing below the eye on the cheekbone, surface piercing as the feature. | anatomy:general
apadravya | An apadravya vertical piercing through the glans, the bar through the penis tip. | anatomy:general
apple_shaped | An apple-shaped body with fuller midsection and slimmer limbs, the noted body type. | anatomy:general
ashley_piercing | Single piercing through the center of the lower lip | anatomy:general
athletic_build | An athletic toned fit body type without bulk, the well-conditioned physique the feature. | anatomy:general
back_dimple_piercing | Back dimple piercings on the lower back, the paired Venus-dimple piercings the feature. | anatomy:general
barbed_cock | A penis textured with keratinous barbs along the shaft, typical feline anatomy. | anatomy:general
barbell_nipple_piercing | A straight barbell piercing through the nipple, the bar visible across the tip. | anatomy:general
bear_body | A bear-body type, large hairy stocky masculine build the noted body category. | anatomy:general
