TAG DATABASE: META, SETTING & CHARACTER
========================================
Total tags: 1434
Categories: 12
Last updated: 2026-02-26

================================================================================
SEX, GENDER & PAIRING
================================================================================
_transformation | A tag indicating a transformation into a specified gender, the gender-shift the focus. | meta:pairing
domestic | Home life and everyday comfort between partners, the mundane intimate moments. | meta:emotion
emotional | A story with significant emotional weight and depth beyond surface plot. | meta:emotion
emotional_abuse | Psychological manipulation within a relationship, cruelty without physical violence. | meta:emotion
emotional_manipulation | Using emotions as tools to control another person's choices. | meta:emotion
emotional_resolution | A story achieving emotional closure or peace by its end. | meta:emotion
enemies_to_lovers | Characters progressing from antagonism to romance across the story's arc. | meta:emotion
estrus | A hormonal reproductive cycle causing intense sexual drive, the female heat cycle. | meta:emotion
ex_partners | Former romantic partners interacting, their history framing the current scene. | meta:emotion
falling_in_love | The process of developing romantic love, the transition from attraction to commitment. | meta:emotion
fated_mates | Partners destined to be together by fate or biology, the inevitability central. | meta:emotion
feral | Animalistic feral behaviour overriding civilised restraint, instinct winning out over reason during the scene. | meta:emotion
first_time | A character's first sexual experience, the inexperience framing the scene. | meta:emotion
first_time_anal | A character's first experience specifically with anal sex, the inexperience and discovery framing the scene. | meta:emotion
first_time_mm | A character's first male-male sexual experience, the queer debut framing. | meta:emotion
forbidden | Sexual activity that breaks social rules or taboos, the transgression the point. | meta:emotion
forbidden_love | Romance that violates social norms or expectations, the taboo framing the tension. | meta:emotion
forbidden_mate | A mate from a rival pack, forbidden species, or otherwise off-limits partner. | meta:emotion
forgiveness | One character pardoning another for sexual or romantic transgression. | meta:emotion
found_family | Chosen family bonds among non-related characters, family-by-choice framing the relationships. | meta:emotion
found_mate | A character discovering their destined mate, the recognition moment central. | meta:emotion
friends_with_benefits | A sexual relationship without romantic commitment, casual and negotiated. | meta:emotion
gay_awakening | A character's first realisation of same-sex attraction, the recognition moment. | meta:emotion
giving_in | A character finally surrendering to desire after sustained resistance. | meta:emotion
grief_sex | Sex as a response to loss or mourning, comfort through intimacy in grief. | meta:emotion
guilt | Feeling of wrongdoing after or during sexual activity, shame framing the act. | meta:emotion
harem | One character with multiple romantic or sexual partners, the harem structure. | meta:emotion
healing | Recovery from trauma through relationship and intimacy, connection as restorative over the story's arc. | meta:emotion
heat | A biological estrus cycle driving uncontrollable sexual need, furry-specific framing. | meta:emotion
hookup | A casual sexual encounter without commitment or expectations, the no-strings framing explicit. | meta:emotion
hopeful_ending | A story concluding with optimism despite the difficulties of the narrative. | meta:emotion
hunt | Active predatory pursuit of a sexual target, the chase framing the scene. | meta:emotion
identity_exploration | A character examining their sexual or personal identity through the story. | meta:emotion
infidelity | Sexual unfaithfulness within a committed relationship, the betrayal the scene's emotional anchor. | meta:emotion
instinct | Primal biological drive overriding rational thought during the scene. | meta:emotion
interspecies | Sexual or romantic content between different species, the species gap framing. | meta:emotion
intimacy | Deep emotional and physical closeness between partners, closeness as the focus. | meta:emotion
jealous_rage | Violent jealousy over a partner, the fury the central emotion. | meta:emotion
jealousy | Possessive emotional response to perceived romantic threat or interest. | meta:emotion
labels_discussion | Characters explicitly discussing sexual identity labels and terminology during the scene. | meta:emotion
loneliness | Emotional isolation driving a character to seek connection or release. | meta:emotion
longing | Persistent aching desire for someone, unfulfilled yearning as the emotional core. | meta:emotion
loss_of_control | A character's discipline or restraint breaking down under sexual pressure. | meta:emotion
love_at_first_scent | Instant attraction from a partner's scent, the furry-specific love-at-first-sight. | meta:emotion
love_at_first_sight | An instant romantic connection upon first meeting, the recognition moment framing the scene. | meta:emotion
love_confession | A character declaring romantic feelings to another, the speech-act moment. | meta:emotion
love_triangle | A three-person romantic conflict or competition, two suitors pursuing the same partner. | meta:emotion
loyalty | Faithful commitment to a partner or relationship, steadfastness as the emotion. | meta:emotion
lust | Intense physical sexual desire, want without sentiment at its core. | meta:emotion
marking | Leaving physical evidence of sexual claiming on a partner's body. | meta:emotion
mate_claim | A character declaring another as their mate, the claiming act. | meta:emotion
mate_mark | A physical mark showing a character is mated, visible bond signifier. | meta:emotion
mated | State of being in a mating bond with a partner | meta:emotion
mates | The furry-specific term for bonded romantic or sexual partners. | meta:emotion
mating | Sex framed as biological reproductive pairing, species-driven rather than recreational. | meta:emotion
mating_season | A period when species-wide mating drive intensifies, seasonal framing. | meta:emotion
