TAG DATABASE: ACTS & POSITIONS
========================================
Total tags: 1632
Categories: 10
Last updated: 2026-02-26

================================================================================
SEXUAL ACTS
================================================================================
*_sex | Wildcard placeholder for various sex acts when the specific type cannot be determined. | act:sexual
mouth_on_cock | A penis positioned inside, against, or touching a partner's mouth, whether for active oral sex or simply resting in contact. | act:sexual
mouth_to_ass | An all-the-way-through variant where penetration enters via the mouth and exits from the anus, passing the entire length of the digestive tract. | act:sexual
multi_penetration | Three or more simultaneous penetrations occurring at once, escalating beyond double_penetration. | act:sexual
multiple_creampies | Receiving internal ejaculation from multiple partners in succession or across multiple rounds, with each load adding to the accumulated volume inside. | act:sexual
multiple_orgasms | A character experiencing two or more orgasms within a single sexual encounter, either in quick succession or spaced throughout a longer session. | act:sexual
multiple_positions | A sexual encounter that cycles through several different positions throughout the session, such as starting missionary, moving to doggy style, then finishing in cowgirl. | act:sexual
multiple_rounds | Multiple complete sexual acts (including separate orgasms) within a single session, with brief recovery periods between rounds. | act:sexual
multiple_sessions | Sexual encounters depicted across separate occasions or time periods rather than in a single continuous session. | act:sexual
mutual_masturbation | Two or more partners masturbating together, either stimulating each other's genitals with their hands or masturbating themselves side by side. | act:sexual
mutual_penetration | Both characters are simultaneously penetrating each other at the same time, each serving as both giver and receiver. | act:sexual
muzzle_grab | Gripping a partner's muzzle or snout firmly during sex, controlling their head position or forcing eye contact. | act:sexual
nasal_cavity_penetration | Penetration entering deeper into the nasal cavity beyond the nostrils. | act:sexual
nasal_penetration | General tag for any penetration involving the nostrils or nasal passages. | act:sexual
navel_insertion | Inserting a finger, toy, or small object into the belly button as a fetish act. | act:sexual
navel_penetration | Penetration deep into or through the belly button with a penis or larger object, an extreme fantasy tag since the navel is a sealed scar. | act:sexual
neck_biting | Biting into the neck during sex, targeting the throat, nape, or side of the neck. | act:sexual
neck_bulge | The neck visibly distending outward from a large penis or object passing through the throat during deep oral penetration. | act:sexual
nibbling | Light, gentle biting with just the front teeth, used playfully or affectionately on ears, lips, neck, or skin. | act:sexual
nipple_fingering | Inserting one or more fingers into the nipple opening, an extreme tag requiring significantly enlarged or fantasy-sized nipple orifices. | act:sexual
nipple_insertion | Inserting a small object, finger, or tongue into the nipple opening. | act:sexual
nipple_lick | Licking a partner's nipples with the tongue, either as foreplay or focused breast stimulation. | act:sexual
nipple_penetration | Full penetration of a nipple with a penis or large object, requiring massively enlarged or fantasy-modified nipple openings. | act:sexual
nipple_play | Any form of sexual stimulation focused on the nipples, including pinching, twisting, licking, sucking, clamping, or ice play. | act:sexual
no_eye_contact | A character deliberately avoiding eye contact during sex, looking away, closing eyes, or turning their head. | act:sexual
nom | A soft, playful, exaggerated biting or chewing motion on a partner's body, ear, or tail, more comedic and cute than sexual. | act:sexual
north_pole_position | An oral sex position where the dominant partner kneels on the receiver’s chest, presenting their genitals at face height for oral service. | act:sexual
nose_licking | Licking a partner's nose or the tip of their muzzle, a species-specific display of affection common in canine and feline characters. | act:sexual
nursing | Suckling at a partner's breast in a sexual or intimate context, either producing milk (lactation) or dry nursing for comfort and closeness. | act:sexual
nursing_fingering | Simultaneous nursing at the breast and fingering a partner's genitals, combining the nurturing intimacy of suckling with direct sexual stimulation below. | act:sexual
nursing_handjob | Simultaneous nursing at the breast and giving a handjob, combining the nurturing comfort of suckling with manual genital stimulation. | act:sexual
nuru_massage | A Japanese-style full-body massage where the giver coats themselves and the receiver in slippery nuru gel and slides their entire body along the other's for stimulation. | act:sexual
object_in_urethra | A foreign object (pen, rod, thermometer, or non-standard item) inserted into the urethra for sexual stimulation. | act:sexual
object_insertion | General catch-all for any non-body-part object being inserted into an orifice for sexual purposes. | act:sexual
octuple_penetration | Eight separate penetrations occurring simultaneously, an extreme multi-penetration scenario requiring a large group or tentacle-based encounter. | act:sexual
on_side_fingering | Fingering while both partners lie on their sides facing each other, creating an intimate, face-to-face dynamic during digital stimulation. | act:sexual
on_side_handjob | A handjob performed while both partners lie on their sides, reaching across to stroke each other or one partner stimulating the other. | act:sexual
oral | General catch-all tag for any sexual activity involving the mouth. | act:sexual
oral_fingering | Inserting fingers into a partner's mouth, either for them to suck on sensually, to gag them, or to wet the fingers before using them elsewhere. | act:sexual
oral_fisting | Inserting an entire fist into a partner's mouth, stretching the jaw to its extreme limits. | act:sexual
oral_focus | A scene where the primary sexual activity centres on mouth and tongue stimulation, with oral acts as the main event rather than a precursor to penetration. | act:sexual
oral_only | A scene that exclusively features oral sex with no vaginal, anal, or other penetrative acts occurring. | act:sexual
